level,kem,sig,None,NoneTable,NoneRel,highLoss,highLossTable,highLossRel,highDelay,highDelayTable,highDelayRel,lowBandwidth,lowBandwidthTable,lowBandwidthRel,LTEM,LTEMTable,LTEMRel,fiveG,fiveGTable,fiveGRel
0,X25519,rsa:2048,1612938,1.61,0.1953,2050494,2.05,0.1818,1002153106,1002.15,1.0166,14107931,14.11,0.1828,245974250,245.97,0.4664,46258056,46.26,0.8711
1,bikel1,rsa:2048,3052043,3.05,0.3695,6435125,6.44,0.5705,1006691863,1006.69,1.0212,26970962,26.97,0.3495,329573556,329.57,0.6250,50608387,50.61,0.9531
1,hqc128,rsa:2048,1797481,1.80,0.2176,2017525,2.02,0.1789,1002366787,1002.37,1.0168,51298925,51.30,0.6648,251282200,251.28,0.4765,46329300,46.33,0.8725
1,kyber512,rsa:2048,2045013,2.05,0.2476,2231225,2.23,0.1978,1002454669,1002.45,1.0169,20009162,20.01,0.2593,220031325,220.03,0.4172,46453825,46.45,0.8748
1,kyber90s512,rsa:2048,2009725,2.01,0.2433,2269687,2.27,0.2012,1002493369,1002.49,1.0169,19983312,19.98,0.2590,484942175,484.94,0.9196,46448788,46.45,0.8747
1,p256,rsa:2048,1811356,1.81,0.2193,2013862,2.01,0.1785,1002083463,1002.08,1.0165,14370893,14.37,0.1862,214398063,214.40,0.4066,46177275,46.18,0.8696
1,p256\_bikel1,rsa:2048,3038225,3.04,0.3678,6877762,6.88,0.6097,1007161331,1007.16,1.0217,27496725,27.50,0.3563,227548494,227.55,0.4315,51107387,51.11,0.9625
1,p256\_hqc128,rsa:2048,1899312,1.90,0.2299,2463025,2.46,0.2183,1002758356,1002.76,1.0172,51835100,51.84,0.6717,251985512,251.99,0.4778,46774087,46.77,0.8809
1,p256\_kyber512,rsa:2048,2283700,2.28,0.2765,2476738,2.48,0.2196,1002714693,1002.71,1.0172,20510762,20.51,0.2658,220567200,220.57,0.4183,46681100,46.68,0.8791
3,bikel3,rsa:2048,6492188,6.49,0.7860,16254987,16.25,1.4410,1016556568,1016.56,1.0312,45103788,45.10,0.5845,1081046600,1081.05,2.0500,60640362,60.64,1.1420
3,hqc192,rsa:2048,1821913,1.82,0.2206,2897706,2.90,0.2569,1003018913,1003.02,1.0175,89257175,89.26,1.1567,506826087,506.83,0.9611,47141413,47.14,0.8878
3,kyber768,rsa:2048,2106593,2.11,0.2550,2338150,2.34,0.2073,1002475506,1002.48,1.0169,22566425,22.57,0.2924,887441275,887.44,1.6829,46472275,46.47,0.8752
3,kyber90s768,rsa:2048,2029587,2.03,0.2457,2231200,2.23,0.1978,1002466738,1002.47,1.0169,22570512,22.57,0.2925,222592975,222.59,0.4221,46443193,46.44,0.8746
3,p384,rsa:2048,5129163,5.13,0.6209,8161775,8.16,0.7235,1008434099,1008.43,1.0230,17169575,17.17,0.2225,351091344,351.09,0.6658,52340375,52.34,0.9857
3,p384\_bikel3,rsa:2048,10691269,10.69,1.2943,23124725,23.12,2.0500,1023421762,1023.42,1.0382,52551475,52.55,0.6810,595303256,595.30,1.1289,67469006,67.47,1.2706
3,p384\_hqc192,rsa:2048,5877975,5.88,0.7116,9943756,9.94,0.8815,1010069469,1010.07,1.0246,92823500,92.82,1.2029,539245456,539.25,1.0226,53887769,53.89,1.0148
3,p384\_kyber768,rsa:2048,5918725,5.92,0.7165,8287563,8.29,0.7347,1008480512,1008.48,1.0230,25966837,25.97,0.3365,226104287,226.10,0.4288,52550825,52.55,0.9896
5,hqc256,rsa:2048,2650594,2.65,0.3209,4249588,4.25,0.3767,2004810219,2004.81,2.0337,139913375,139.91,1.8131,717538950,717.54,1.3607,92742450,92.74,1.7465
5,kyber1024,rsa:2048,2174550,2.17,0.2633,2224350,2.22,0.1972,1002402062,1002.40,1.0169,26933762,26.93,0.3490,226955887,226.96,0.4304,46493925,46.49,0.8756
5,kyber90s1024,rsa:2048,2112600,2.11,0.2558,2438188,2.44,0.2161,1002488012,1002.49,1.0169,26934131,26.93,0.3490,226944825,226.94,0.4304,46510862,46.51,0.8759
5,p521,rsa:2048,12322943,12.32,1.4918,17321363,17.32,1.5355,1017532607,1017.53,1.0322,21290250,21.29,0.2759,221327631,221.33,0.4197,61571162,61.57,1.1595
5,p521\_hqc256,rsa:2048,16933393,16.93,2.0500,20464313,20.46,1.8142,2020859881,2020.86,2.0500,158193606,158.19,2.0500,760996512,761.00,1.4431,108856088,108.86,2.0500
5,p521\_kyber1024,rsa:2048,12498644,12.50,1.5131,17578213,17.58,1.5583,1017811418,1017.81,1.0325,34496762,34.50,0.4470,234549818,234.55,0.4448,61781850,61.78,1.1635
